Timestamp,State of Charge (%),Voltage (V)
06:09:53,79.76953125,4.03125
06:09:54,79.76953125,4.03125
06:09:55,79.76953125,4.03125
06:09:56,79.76953125,4.03125
06:09:57,79.76953125,4.03125
06:09:58,79.76953125,4.03125
06:09:59,79.76953125,4.03125
06:10:00,79.76953125,4.03125
06:10:01,79.76953125,4.03125
06:10:02,79.76953125,4.03125
06:10:03,79.76953125,4.03125
06:10:04,79.76953125,4.03125
06:10:05,79.76953125,4.03125
06:10:06,79.76953125,4.03125
06:10:07,79.76953125,4.03125
06:10:08,79.76953125,4.03125
06:10:09,79.76953125,4.03125
06:10:10,79.76953125,4.03125
06:10:11,79.76953125,4.03125
06:10:12,79.76953125,4.03125
06:10:13,79.76953125,4.03125
06:10:14,79.76953125,4.03125
06:10:15,79.76953125,4.03125
06:10:16,79.76953125,4.03125
06:10:17,79.76953125,4.03125
06:10:18,79.76953125,4.03125
06:10:19,79.76953125,4.03125
06:10:20,79.76953125,4.03125
06:10:21,79.76953125,4.03125
06:10:22,79.76953125,4.03125
06:10:23,79.76953125,4.03125
06:10:24,79.76953125,4.03125
06:10:25,79.76953125,4.03125
06:10:26,79.76953125,4.03125
06:10:27,79.76953125,4.03125
06:10:28,79.76953125,4.03125
06:10:29,79.76953125,4.03125
06:10:30,79.76953125,4.03125
06:10:31,79.76953125,4.03125
06:10:32,79.76953125,4.03125
06:10:33,79.76953125,4.03125
06:10:34,79.76953125,4.03125
06:10:35,79.76953125,4.03125
06:10:36,79.76953125,4.03125
06:10:37,79.76953125,4.03125
06:10:38,79.76953125,4.03125
06:10:39,79.76953125,4.03125
06:10:40,79.76953125,4.03125
06:10:41,79.76953125,4.03125
06:10:42,79.76953125,4.03125
06:10:43,79.76953125,4.03125
06:10:44,79.76953125,4.03125
06:10:45,79.76953125,4.03125
06:10:46,79.76953125,4.03125
06:10:47,79.76953125,4.03125
06:10:48,79.76953125,4.03125
06:10:49,79.76953125,4.03125
06:10:50,79.76953125,4.03125
06:10:51,79.76953125,4.03125
06:10:52,79.76953125,4.03125
06:10:53,79.76953125,4.03125
06:10:54,79.76953125,4.03125
06:10:55,79.76953125,4.03125
06:10:56,79.76953125,4.03125
06:10:57,79.76953125,4.03125
06:10:58,79.76953125,4.03125
06:10:59,79.76953125,4.03125
06:11:00,79.76953125,4.03125
06:11:01,79.76953125,4.03125
06:11:02,79.76953125,4.0175
06:11:03,79.76953125,4.0025
06:11:04,79.76953125,4.0025
06:11:05,79.76953125,4.00125
06:11:06,79.76953125,4.00375
06:11:07,79.76953125,4.0
06:11:08,79.76953125,3.99625
06:11:09,79.76953125,3.995
06:11:10,79.76953125,3.99375
06:11:11,79.76953125,3.995
06:11:12,79.76953125,3.99375
06:11:13,79.76953125,3.9925
06:11:14,79.76953125,3.99125
06:11:15,79.76953125,3.9925
06:11:16,79.76953125,3.9725
06:11:17,79.76953125,3.98625
06:11:18,79.76953125,3.97875
06:11:19,79.76953125,3.98
06:11:20,79.76953125,3.955
06:11:21,79.76953125,3.95
06:11:22,79.76953125,3.97
06:11:23,79.76953125,3.9725
06:11:24,79.76953125,3.97125
06:11:25,79.76953125,3.97625
06:11:26,79.76953125,3.98
06:11:27,79.76953125,3.97
06:11:28,79.76953125,3.96625
06:11:29,79.76953125,3.9525
06:11:30,79.76953125,3.965
06:11:31,79.76953125,3.97
06:11:32,79.76953125,3.9625
06:11:33,79.76953125,3.9625
06:11:34,79.76953125,3.95625
06:11:35,79.76953125,3.9625
06:11:36,79.76953125,3.975
06:11:38,79.76953125,3.975
06:11:39,79.76953125,3.97625
